,station id,station latitude,station longitude,County
0,263,40.717290000000006,-73.996375,New York
1,495,40.76269882,-73.99301222,New York
2,3119,40.74232744,-73.95411749,Queens County
3,536,40.74144387,-73.97536082,New York
4,347,40.728846000000004,-74.00859100000001,New York
5,2004,40.724399,-74.004704,New York
6,173,40.76064679,-73.98442659,New York
7,397,40.68415748,-73.96922273,Kings County
10,307,40.71427487,-73.98990025,New York
11,3075,40.70708701,-73.95796783,New York
12,361,40.71605866,-73.99190759,New York
13,358,40.73291553,-74.00711384,New York
14,410,40.72066442,-73.98517977,New York
15,509,40.7454973,-74.00197139,New York
16,2003,40.73381219196632,-73.9805442094803,New York
17,450,40.76227205,-73.98788205,New York
18,386,40.71494807,-74.00234482,New York
19,285,40.73454567,-73.99074142,New York
20,479,40.76019252,-73.9912551,New York
21,3133,40.76734259143217,-73.96485865116121,New York
25,2021,40.75929124,-73.98859651,New York
27,488,40.75645824,-73.99372222,New York
28,316,40.70955958,-74.00653609,New York
29,463,40.74206539,-74.00443172,New York
30,274,40.68691865,-73.976682,Kings County
31,317,40.72453734,-73.98185424,New York
32,545,40.736502,-73.97809472,New York
33,326,40.72953837,-73.98426726,New York
35,368,40.73038599,-74.00214988,New York
36,3118,40.73555,-73.95284000000001,Kings County
37,442,40.746646999999996,-73.993915,New York
38,348,40.72490985,-74.00154702,New York
41,539,40.71534825,-73.96024116,Kings County
43,518,40.74780373,-73.97344190000001,New York
44,468,40.7652654,-73.98192338,New York
45,528,40.74290902,-73.97706058,New York
47,396,40.680342423,-73.9557689392,Kings County
48,294,40.73049393,-73.99572140000001,New York
49,296,40.71413089,-73.99704679999999,New York
50,293,40.73028666,-73.9907647,New York
55,515,40.76009437,-73.99461843,New York
56,393,40.72299208,-73.97995466,New York
57,477,40.75640548,-73.9900262,New York
58,382,40.73492695,-73.99200509,New York
59,212,40.74334935,-74.00681753,New York
61,312,40.722055,-73.989111,New York
62,521,40.750967348715974,-73.99444207549095,New York
63,487,40.73314259,-73.97573881,New York
64,482,40.73935542,-73.99931783,New York
66,3110,40.72708584,-73.95299117,Kings County
67,405,40.739323,-74.008119,New York
68,3093,40.71745169,-73.95850939,Kings County
69,355,40.71602118,-73.99974372,New York
70,453,40.74475148,-73.99915362,New York
71,325,40.73624527,-73.98473765,New York
72,428,40.72467721,-73.98783413,New York
73,497,40.73704984,-73.99009296,New York
74,507,40.73912601,-73.97973776,New York
75,454,40.75455731,-73.96592976,New York
76,483,40.73223272,-73.98889957,New York
77,160,40.748238,-73.978311,New York
79,447,40.76370739,-73.9851615,New York
80,3117,40.735640000000004,-73.95866,Kings County
